,productionLine,ife_count,production_amt,ife_count_rel,production_amt_rel,expected_ife_count,chi_stat_contributor,ExpectedProduction,ExpectedEmergencies,pooled_prop,z_val,odds_ratio,residual
20,Boeing 767,36.0,1319.0,0.056782334384858045,0.030519690869545098,19.34948401129159,14.328014252392899,1335.4097874669342,19.590212533065767,0.030899388853416036,3.793685449593006,1.8605147289194806,0.026262643515312947
21,Boeing 777,36.0,1738.0,0.056782334384858045,0.04021472534592068,25.49613586931371,4.3273679682853,1748.3520021891818,25.647997810818207,0.040454255222110734,2.1019730785449164,1.4119786694158774,0.016567609038937364
22,Boeing 787,25.0,1150.0,0.03943217665615142,0.02660928316904993,16.870285529177657,3.917672718863572,1158.0121773237252,16.987822676274742,0.026794672990969624,1.9849145914688122,1.4818954875874366,0.012822893487101486
23,Bombardier DHC-8,8.0,1258.0,0.012618296529968454,0.029108241936230274,18.454625387569994,5.92259066217843,1247.6965246739032,18.303475326096873,0.02886983489920642,-2.4617310548622147,0.43349565932605455,-0.01648994540626182
24,Canadair CRJ,1.0,1950.0,0.0015772870662460567,0.04512008885186728,28.606136332083857,26.641093866662843,1922.7929854966706,28.20701450332938,0.04449055915351637,-5.278945837638599,0.03495753457898568,-0.04354280178562123
25,Canadair CRJ 100,8.0,226.0,0.012618296529968454,0.0052293026053959,3.3153778518210006,6.619361548535216,230.61689318617167,3.3831068138283316,0.005336130621180333,2.5352230276066394,2.412997962089277,0.007388993924572554
26,Canadair CRJ 700,1.0,330.0,0.0015772870662460567,0.007635707344162155,4.841038456198806,3.047605705983721,326.2144942077898,4.785505792210161,0.007548116391498678,-1.7497162768669332,0.2065672497849154,-0.006058420277916098
27,Canadair CRJ 900,15.0,500.0,0.02365930599369085,0.01156925355176084,7.334906751816373,8.01014334487631,507.55427346529234,7.445726534707653,0.011744048161999452,2.8052192623606067,2.0450157728706624,0.01209005244193001
28,Embraer ERJ135,1.0,120.0,0.0015772870662460567,0.0027766208524226017,1.7603776204359296,0.3284375573444469,119.25061570737937,1.749384292620633,0.0027592812186445314,-0.5715106701243412,0.5680599369085173,-0.001199333786176545
29,Embraer ERJ140,1.0,74.0,0.0015772870662460567,0.0017122495256606043,1.0855661992688233,0.00674447533668916,73.91567089300374,1.0843291069962602,0.0017102982760193377,-0.08164526784358864,0.921178276067866,-0.0001349624594145476
30,Embraer ERJ145,6.0,1100.0,0.00946372239747634,0.02545235781387385,16.13679485399602,6.367721151673105,1090.0097601021619,15.990239897838183,0.025221198577031836,-2.548929124207851,0.37182104961284773,-0.015988635416397508
31,Embraer ERJ170,33.0,190.0,0.052050473186119876,0.004396316349669119,2.7872645656902217,327.4929095930852,219.77592812186447,3.224071878135547,0.005085286874030831,16.74682156909943,11.839565000830152,0.04765415683645076
32,Embraer ERJ190,2.0,560.0,0.0031545741324921135,0.01295756397797214,8.215095562034337,4.702004079384495,553.8747605582414,8.125239441758643,0.012815835081638237,-2.178553684070651,0.24345425867507886,-0.009802989845480028
33,Fokker 100,1.0,283.0,0.0015772870662460567,0.006548197510296636,4.151557221528067,2.392430693008711,279.8940071148408,4.105992885159171,0.006476329471859893,-1.549047093397929,0.24087347148064336,-0.0049709104440505796
34,McDonnell Douglas MD-11,7.0,200.0,0.011041009463722398,0.0046277014207043365,2.9339627007265494,5.634924845836957,204.00725166469033,2.992748335309678,0.004720423241813372,2.3388444711165968,2.385851735015773,0.006413308043018062
35,McDonnell Douglas MD-88,1.0,150.0,0.0015772870662460567,0.003470776065528252,2.200472025544912,0.6549199750717258,148.81688406458088,2.183115935419137,0.0034434005290522665,-0.8079794021637193,0.45444794952681383,-0.0018934889992821954
36,McDonnell Douglas MD-90,2.0,116.0,0.0031545741324921135,0.0026840668240085148,1.7016983664213983,0.052291208801470375,116.29398887165922,1.7060111283407826,0.002690869287603758,0.2270321877079133,1.1752964211900359,0.0004705073084835987
37,Sukhoi Superjet 100,3.0,200.0,0.00473186119873817,0.0046277014207043365,2.9339627007265494,0.0014863600325428006,200.0650825503968,2.9349174496032107,0.004629207333759007,0.03835628543021027,1.0225078864353312,0.00010415977803383391
