flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,id,active,serial,hexIcao,airlineName,iataCodeShort,icaoCode,model,modelCode,numSeats,rolloutDate,firstFlightDate,deliveryDate,registrationDate,typeName,numEngines,engineType,isFreighter,productionLine,ageYears,verified,numRegistrations,registrations
PIA701_20180526,PIA701,PK701,760917,AP-BHW,B77W,OPIS,EGCC,EGCC,,medical,planned,unknown,,,,,12619,True,33779,760917,Pakistan International Airlines,773,B773,B773,B777-340ER,393.0,2007-01-31,2007-01-31,2007-02-07,2007-02-08,Boeing 777-300,2.0,Jet,False,Boeing 777,17.8,True,1,"[{'reg': 'AP-BHW', 'active': True, 'hexIcao': '760917', 'airlineName': 'Pakistan International Airlines', 'registrationDate': '2007-02-08'}]"
PIA701_20180526,PIA701,PK701,760917,AP-BHW,B77W,OPIS,EGCC,EGCC,,medical,planned,unknown,,,,,12619,True,33779,760917,Pakistan International Airlines,773,B773,B773,B777-340ER,393.0,2007-01-31,2007-01-31,2007-02-07,2007-02-08,Boeing 777-300,2.0,Jet,False,Boeing 777,17.8,True,1,"[{'reg': 'AP-BHW', 'active': True, 'hexIcao': '760917', 'airlineName': 'Pakistan International Airlines', 'registrationDate': '2007-02-08'}]"
AAL2254_20180526,AAL2254,AA2254,a12bcd,N175AN,B752,KMIA,KDFW,KDFW,,,,,,,,,11472,False,32394,A12BCD,American Airlines,752,B752,B752,757-223,176.0,2001-11-20,2001-11-20,2001-12-17,2001-12-17,Boeing 757-200,2.0,Jet,False,Boeing 757,23.0,True,1,"[{'reg': 'N175AN', 'active': False, 'hexIcao': 'A12BCD', 'airlineName': 'American Airlines', 'registrationDate': '2001-12-17'}]"
MSC610_20180529,MSC610,,0101bf,SU-BTM,A320,,,,,,,,,,,,18962,True,4320,0101BF,Air Cairo,320,A320,A320,320-214,174.0,2010-05-26,2010-05-26,2010-06-14,2017-11-06,Airbus A320,2.0,Jet,False,Airbus A320,14.5,True,3,"[{'reg': 'SU-BTM', 'active': True, 'hexIcao': '0101BF', 'airlineName': 'Air Cairo', 'registrationDate': '2017-11-06'}, {'reg': 'PR-MYG', 'active': False, 'airlineName': 'LATAM Brasil', 'registrationDate': '2016-05-05'}, {'reg': 'PR-MYG', 'active': False, 'hexIcao': 'E485B1', 'airlineName': 'LATAM Brasil', 'registrationDate': '2010-06-14'}]"
VLG7104_20180529,VLG7104,VY7104,3452c9,EC-MNZ,A320,LECO,LFPO,EGLL,LFPO,technical,diverted,unknown,,,,,25818,True,7351,3452C9,Vueling,320,A320,A320,320-232,186.0,2016-09-20,2016-09-20,2016-10-20,2016-10-20,Airbus A320,2.0,Jet,False,Airbus A320,8.2,True,1,"[{'reg': 'EC-MNZ', 'active': True, 'hexIcao': '3452C9', 'airlineName': 'Vueling', 'registrationDate': '2016-10-20'}]"
EIN43H_20180531,EIN43H,EI432,4ca5c8,EI-DVE,A320,EIDW,EGKK,LIML,EGKK,medical,diverted,unknown,,,,,11049,True,3129,4CA5C8,Aer Lingus,320,A320,A320,320-214,174.0,2007-04-20,2007-04-20,2007-05-18,2007-05-18,Airbus A320,2.0,Jet,False,Airbus A320,17.6,True,1,"[{'reg': 'EI-DVE', 'active': True, 'hexIcao': '4CA5C8', 'airlineName': 'Aer Lingus', 'registrationDate': '2007-05-18'}]"
DAL2817_20180531,DAL2817,DL2817,ac259b,N882DN,B739,KSLC,KMCO,KMCO,,,,,,,,,1749631,True,31994,AC259B,Delta Air Lines,739,B739,B739,B737-932ER,180.0,2017-07-21,,,2017-08-07,Boeing 737-900,2.0,Jet,False,Boeing 737 NG,7.3,True,1,"[{'reg': 'N882DN', 'active': True, 'hexIcao': 'AC259B', 'airlineName': 'Delta Air Lines', 'registrationDate': '2017-08-07'}]"
MSR759_20180601,MSR759,MS759,010162,SU-GED,B738,HECA,EPWA,EKCH,EPWA,technical,diverted,unknown,,,,,28956,True,40802,010162,EgyptAir,73H,B738,B738,B737-866,144.0,2012-06-21,,,2012-07-13,Boeing 737-800 (winglets),2.0,Jet,False,Boeing 737 NG,12.4,True,1,"[{'reg': 'SU-GED', 'active': True, 'hexIcao': '010162', 'airlineName': 'EgyptAir', 'registrationDate': '2012-07-13'}]"
AAL213_20180603,AAL213,AA213,a15aba,N187AN,B752,KMIA,,SBBR,,,,,,,,,11458,False,32381,A15ABA,American Airlines,752,B752,B752,B757-223,176.0,2001-05-09,2001-05-09,2001-05-21,2001-05-21,Boeing 757-200,2.0,Jet,False,Boeing 757,23.5,True,2,"[{'reg': 'N963CA', 'active': True, 'hexIcao': 'AD677E', 'airlineName': 'National Airlines', 'registrationDate': '2021-07-13'}, {'reg': 'N187AN', 'active': False, 'hexIcao': 'A15ABA', 'airlineName': 'American Airlines', 'registrationDate': '2001-05-21'}]"
AAL1897_20180603,AAL1897,AA1897,aaf83c,N806AW,A319,KSAT,KELP,KPHX,KELP,weather_damage,diverted,hold_to_reduce,4b97224e,weather_damage,diverted,hold_to_reduce,638,True,1056,AAF83C,American Airlines,319,A319,A319,319-132,124.0,1999-07-05,1999-07-05,1999-07-30,2015-04-08,Airbus A319,2.0,Jet,False,Airbus A319,25.4,True,3,"[{'reg': 'N806AW', 'active': True, 'hexIcao': 'AAF83C', 'airlineName': 'American Airlines', 'registrationDate': '2015-04-08'}, {'reg': 'N806AW', 'active': False, 'airlineName': 'US Airways', 'registrationDate': '2006-04-17'}, {'reg': 'N806AW', 'active': False, 'hexIcao': 'AAF83C', 'airlineName': 'America West', 'registrationDate': '1999-07-30'}]"
JBU232_20180604,JBU232,B6232,a732d9,N563JB,A320,KLGB,KSLC,KSLC,,,,,,,,,4788,True,2006,A732D9,JetBlue Airways,320,A320,A320,320-232,162.0,2003-04-04,2003-04-04,2003-05-21,2003-05-23,Airbus A320,2.0,Jet,False,Airbus A320,21.6,True,1,"[{'reg': 'N563JB', 'active': True, 'hexIcao': 'A732D9', 'airlineName': 'JetBlue Airways', 'registrationDate': '2003-05-23'}]"
AAL213_20180605,AAL213,AA213,a3deca,N349AN,B763,KMIA,,SBBR,,,,,,,,,12146,False,33088,A3DECA,American Airlines,76W,B763,B763,B767-323ER,,2003-07-15,2003-07-15,2003-07-25,2003-07-25,Boeing 767-300,2.0,Jet,False,Boeing 767,21.4,True,2,"[{'reg': 'A9C-DHY', 'active': True, 'hexIcao': '8940BF', 'airlineName': 'DHL Air', 'registrationDate': '2021-11-01'}, {'reg': 'N349AN', 'active': False, 'hexIcao': 'A3DECA', 'airlineName': 'American Airlines', 'registrationDate': '2003-07-25'}]"
AAL213_20180605,AAL213,AA213,a3deca,N349AN,B763,KMIA,,SBBR,,,,,,,,,12146,False,33088,A3DECA,American Airlines,76W,B763,B763,B767-323ER,,2003-07-15,2003-07-15,2003-07-25,2003-07-25,Boeing 767-300,2.0,Jet,False,Boeing 767,21.4,True,2,"[{'reg': 'A9C-DHY', 'active': True, 'hexIcao': '8940BF', 'airlineName': 'DHL Air', 'registrationDate': '2021-11-01'}, {'reg': 'N349AN', 'active': False, 'hexIcao': 'A3DECA', 'airlineName': 'American Airlines', 'registrationDate': '2003-07-25'}]"
DLH1425_20180605,DLH1425,LH1425,3c5463,D-AECC,E190,LATI,LOWG,EDDF,LOWG,medical,diverted,unknown,,,,,4200,False,19000333,3C5463,Lufthansa CityLine,E90,E190,E190,190LR,100.0,,,2010-01-22,2010-01-22,Embraer 190,2.0,Jet,False,Embraer ERJ190,14.8,True,2,"[{'reg': 'I-JENE', 'active': True, 'hexIcao': '3007F2', 'airlineName': 'Air Dolomiti', 'registrationDate': '2023-01-11'}, {'reg': 'D-AECC', 'active': False, 'hexIcao': '3C5463', 'airlineName': 'Lufthansa CityLine', 'registrationDate': '2010-01-22'}]"
LOT4VM_20180605,LOT4VM,LO408,4a09ae,YR-BMN,B738,EDDL,EPWA,EPWA,,medical,planned,unknown,,,,,17465,False,40728,4A09AE,Blue Air,738,B738,B738,737-82R,189.0,2011-03-14,2011-03-14,2011-03-24,2018-10-15,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,13.7,True,5,"[{'reg': 'PH-HBN', 'active': True, 'hexIcao': '4854CF', 'airlineName': 'Transavia', 'registrationDate': '2023-06-29'}, {'reg': 'YR-BMN', 'active': False, 'hexIcao': '4A09AE', 'airlineName': 'Blue Air', 'registrationDate': '2018-10-15'}, {'reg': 'YR-BMN', 'active': False, 'airlineName': 'LOT - Polish Airlines', 'registrationDate': '2018-05-10'}, {'reg': 'YR-BMN', 'active': False, 'hexIcao': '4A09AE', 'airlineName': 'Blue Air', 'registrationDate': '2017-11-25'}, {'reg': 'TC-AGP', 'active': False, 'airlineName': 'Pegasus', 'registrationDate': '2011-03-24'}]"
AAL2237_20180606,AAL2237,AA2237,a0a2bd,N140AN,A321,KDCA,KDFW,KDFW,,,,,,,,,25004,True,6667,A0A2BD,American Airlines,321,A321,A321,321-231,181.0,2015-07-01,2015-07-01,2015-07-14,2015-07-14,Airbus A321,2.0,Jet,False,Airbus A321,9.4,True,1,"[{'reg': 'N140AN', 'active': True, 'hexIcao': 'A0A2BD', 'airlineName': 'American Airlines', 'registrationDate': '2015-07-14'}]"
NAX7075_20180606,NAX7075,DY7075,4950d8,CS-TFX,A345,LEBL,LEBL,KOAK,LEBL,unclear,return,unknown,,,,,27891,False,912,4950D8,HiFly,345,A345,A345,340-542X,237.0,2008-07-18,2008-07-18,2009-05-29,2015-06-08,Airbus A340-500,4.0,Jet,False,Airbus A340,16.3,True,2,"[{'reg': 'CS-TFX', 'active': False, 'hexIcao': '4950D8', 'airlineName': 'HiFly', 'registrationDate': '2015-06-08'}, {'reg': 'CS-TFX', 'active': False, 'hexIcao': '4950D8', 'airlineName': 'Arik Air', 'registrationDate': '2009-05-29'}]"
AAL2057_20180606,AAL2057,AA2057,a7101e,N554UW,A321,KLAX,,KCLT,,,,,,,,,20688,True,4966,A7101E,American Airlines,321,A321,A321,321-231,187.0,2011-12-20,2011-12-20,2011-12-31,2015-04-08,Airbus A321,2.0,Jet,False,Airbus A321,12.9,True,2,"[{'reg': 'N554UW', 'active': True, 'hexIcao': 'A7101E', 'airlineName': 'American Airlines', 'registrationDate': '2015-04-08'}, {'reg': 'N554UW', 'active': False, 'hexIcao': 'A7101E', 'airlineName': 'US Airways', 'registrationDate': '2011-12-31'}]"
ACA832_20180610,ACA832,AC832,c0583f,C-GHKW,A333,CYUL,,EBBR,,,,,,,,,17526,True,408,C0583F,Air Canada,333,A333,A333,330-343X,292.0,2001-05-28,2001-05-28,2001-06-19,2001-06-19,Airbus A330-300,2.0,Jet,False,Airbus A330,23.5,True,1,"[{'reg': 'C-GHKW', 'active': True, 'hexIcao': 'C0583F', 'airlineName': 'Air Canada', 'registrationDate': '2001-06-19'}]"
TVF71AT_20180610,TVF71AT,TO3100,3964e3,F-GZHD,B738,LFPO,LFPO,LEZL,LFPO,unclear,return,unknown,,,,,9644,False,29650,3964E3,Transavia France,737,,B738,737-8K2,189.0,2008-04-11,2008-04-11,2008-04-21,2017-03-31,Boeing 737,2.0,Jet,False,Boeing 737,16.6,True,10,"[{'reg': 'G-TUKS', 'active': True, 'hexIcao': '408026', 'airlineName': 'TUI Airways', 'registrationDate': '2024-04-15'}, {'reg': 'F-GZHD', 'active': False, 'hexIcao': '3964E3', 'airlineName': 'Transavia France', 'registrationDate': '2017-03-31'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2016-12-06'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2016-04-08'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2015-12-11'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2015-04-07'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2014-11-28'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2014-04-15'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2014-01-15'}, {'reg': 'F-GZHD', 'active': False, 'hexIcao': '3964E3', 'airlineName': 'Transavia France', 'registrationDate': '2008-04-21'}]"
TVF71AT_20180610,TVF71AT,TO3100,3964e3,F-GZHD,B738,LFPO,LFPO,LEZL,LFPO,unclear,return,unknown,,,,,9644,False,29650,3964E3,Transavia France,737,,B738,737-8K2,189.0,2008-04-11,2008-04-11,2008-04-21,2017-03-31,Boeing 737,2.0,Jet,False,Boeing 737,16.6,True,10,"[{'reg': 'G-TUKS', 'active': True, 'hexIcao': '408026', 'airlineName': 'TUI Airways', 'registrationDate': '2024-04-15'}, {'reg': 'F-GZHD', 'active': False, 'hexIcao': '3964E3', 'airlineName': 'Transavia France', 'registrationDate': '2017-03-31'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2016-12-06'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2016-04-08'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2015-12-11'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2015-04-07'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2014-11-28'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Transavia France', 'registrationDate': '2014-04-15'}, {'reg': 'F-GZHD', 'active': False, 'airlineName': 'Air Transat', 'registrationDate': '2014-01-15'}, {'reg': 'F-GZHD', 'active': False, 'hexIcao': '3964E3', 'airlineName': 'Transavia France', 'registrationDate': '2008-04-21'}]"
SKU502_20180613,SKU502,H2502,e80321,CC-AID,A319,SAEZ,,SCEL,,,,,,,,,1750417,False,2436,E80321,Sky Airline,319,A319,A319,319-111,,2005-03-11,,,2013-04-16,Airbus A319,2.0,Jet,False,Airbus A319,19.7,True,2,"[{'reg': 'CC-AID', 'active': False, 'hexIcao': 'E80321', 'airlineName': 'Sky Airline', 'registrationDate': '2013-04-16'}, {'reg': 'G-EZIC', 'active': False, 'airlineName': 'easyJet', 'registrationDate': '2005-04-07'}]"
AFR228_20180614,AFR228,AF228,3949f2,F-GSPS,B772,LFPG,LFPG,SAEZ,LFPG,technical,return,unknown,,,,,11407,False,32306,3949F2,Air France,772,B772,B772,B777-228ER,280.0,2001-10-23,2001-10-23,2001-11-02,2001-11-02,Boeing 777-200,2.0,Jet,False,Boeing 777,23.1,True,1,"[{'reg': 'F-GSPS', 'active': False, 'hexIcao': '3949F2', 'airlineName': 'Air France', 'registrationDate': '2001-11-02'}]"
UAL14_20180616,UAL14,UA14,aa44d0,N76065,B764,KEWR,EGLL,EGLL,,unclear,planned,unknown,,,,,9460,True,29460,AA44D0,United Airlines,764,B764,B764,B767-424ER,242.0,2002-04-28,2002-04-28,2002-05-01,2011-11-30,Boeing 767-400,2.0,Jet,False,Boeing 767,22.6,True,2,"[{'reg': 'N76065', 'active': True, 'hexIcao': 'AA44D0', 'airlineName': 'United Airlines', 'registrationDate': '2011-11-30'}, {'reg': 'N76065', 'active': False, 'hexIcao': 'AA44D0', 'airlineName': 'Continental Airlines', 'registrationDate': '2002-05-01'}]"
IBK6241_20180616,IBK6241,D86241,4ca354,EI-FHD,B738,BIKF,EGBB,LEMD,EGBB,hydraulics,diverted,unknown,4b9f779c,hydraulics,diverted,unknown,16396,False,39011,4CA354,Norwegian Air International,738,B738,B738,737-8JP,186.0,2012-02-15,2012-02-15,2012-03-01,2015-02-18,Boeing 737-800,2.0,Jet,False,Boeing 737 NG,12.8,True,3,"[{'reg': 'LN-DYX', 'active': True, 'hexIcao': '47878D', 'airlineName': 'Norwegian Air Shuttle', 'registrationDate': '2021-08-02'}, {'reg': 'EI-FHD', 'active': False, 'hexIcao': '4CA354', 'airlineName': 'Norwegian Air International', 'registrationDate': '2015-02-18'}, {'reg': 'LN-DYX', 'active': False, 'airlineName': 'Norwegian Air Shuttle', 'registrationDate': '2012-03-01'}]"
TOM54A_20180617,TOM54A,BY4764,406d6f,G-TUIH,B788,EGKK,,LDDU,EGKK,unclear,return,unknown,,,,,15167,True,37229,406D6F,TUI Airways,788,B788,B788,B787-8,300.0,2015-04-09,2015-04-09,2015-05-07,2017-10-01,Boeing 787-8,2.0,Jet,False,Boeing 787,9.6,True,2,"[{'reg': 'G-TUIH', 'active': True, 'hexIcao': '406D6F', 'airlineName': 'TUI Airways', 'registrationDate': '2017-10-01'}, {'reg': 'G-TUIH', 'active': False, 'hexIcao': '406D6F', 'airlineName': 'TUI Airways', 'registrationDate': '2015-05-07'}]"
EZY29JH_20180617,EZY29JH,U28191,406f01,G-EZOZ,A320,EGKK,,LIMC,LFPG,technical,diverted,unknown,,,,,25316,False,6918,406F01,easyJet,320,A320,A320,320-214,186.0,2015-12-17,2015-12-17,2015-12-23,2015-12-23,Airbus A320,2.0,Jet,False,Airbus A320,8.9,True,2,"[{'reg': 'OE-ICI', 'active': True, 'hexIcao': '44046D', 'airlineName': 'EasyJet Europe', 'registrationDate': '2018-11-12'}, {'reg': 'G-EZOZ', 'active': False, 'hexIcao': '406F01', 'airlineName': 'easyJet', 'registrationDate': '2015-12-23'}]"
EZY73FH_20180619,EZY73FH,U28301,406e69,G-EZOX,A320,EGKK,LFPG,LEMH,LFPG,medical,diverted,unknown,,,,,25240,True,6837,406E69,easyJet,320,A320,A320,320-214,186.0,2015-10-26,2015-10-26,2015-11-04,2020-10-12,Airbus A320,2.0,Jet,False,Airbus A320,9.1,True,3,"[{'reg': 'G-EZOX', 'active': True, 'hexIcao': '406E69', 'airlineName': 'easyJet', 'registrationDate': '2020-10-12'}, {'reg': 'OE-INQ', 'active': False, 'hexIcao': '4402F3', 'airlineName': 'EasyJet Europe', 'registrationDate': '2018-11-27'}, {'reg': 'G-EZOX', 'active': False, 'hexIcao': '406E69', 'airlineName': 'easyJet', 'registrationDate': '2015-11-04'}]"
AAL435_20180620,AAL435,AA435,a74679,N568UW,A321,KDFW,,KSMF,,,,,,,,,22913,True,5751,A74679,American Airlines,321,A321,A321,321-231,187.0,2013-08-20,2013-08-20,2013-09-04,2015-04-08,Airbus A321,2.0,Jet,False,Airbus A321,11.3,True,2,"[{'reg': 'N568UW', 'active': True, 'hexIcao': 'A74679', 'airlineName': 'American Airlines', 'registrationDate': '2015-04-08'}, {'reg': 'N568UW', 'active': False, 'hexIcao': 'A74679', 'airlineName': 'US Airways', 'registrationDate': '2013-09-04'}]"
ACA885_20180622,ACA885,AC885,c051e4,C-GFAH,A333,LFPG,LFPG,CYUL,LFPG,hydraulics,return,hold_to_reduce,4ba4a68b,hydraulics,return,unknown,8144,True,279,C051E4,Air Canada,333,A333,A333,330-343X,292.0,1999-08-30,1999-08-30,1999-10-15,1999-10-15,Airbus A330-300,2.0,Jet,False,Airbus A330,25.2,True,1,"[{'reg': 'C-GFAH', 'active': True, 'hexIcao': 'C051E4', 'airlineName': 'Air Canada', 'registrationDate': '1999-10-15'}]"
ANA232_20180622,ANA232,NH232,86d5d8,JA823A,B788,EBBR,EFHK,RJAA,EFHK,cracked_windshield,diverted,unknown,4ba3ebc0,cracked_windshield,diverted,unknown,18581,True,42246,86D5D8,ANA,788,B788,B788,B787-8,169.0,2013-08-04,2013-08-04,2013-08-22,2013-08-22,Boeing 787-8,2.0,Jet,False,Boeing 787,11.3,True,1,"[{'reg': 'JA823A', 'active': True, 'hexIcao': '86D5D8', 'airlineName': 'ANA', 'registrationDate': '2013-08-22'}]"
CLX831_20180624,CLX831,CV831,4d010b,LX-VCV,B744,KORD,,KIND,,,,,,,,,12962,True,34235,4D010B,Cargolux Italia,744,B744,747,B747-4R7F,,2005-11-15,2005-11-15,2005-11-23,2019-12-19,Boeing 747-400,4.0,Jet,True,Boeing 747,19.0,True,2,"[{'reg': 'LX-VCV', 'active': True, 'hexIcao': '4D010B', 'airlineName': 'Cargolux Italia', 'registrationDate': '2019-12-19'}, {'reg': 'LX-VCV', 'active': False, 'hexIcao': '4D010B', 'airlineName': 'Cargolux', 'registrationDate': '2005-11-23'}]"
ARG1301_20180626,ARG1301,AR1301,e072d0,LV-GKP,A332,KJFK,,SAEZ,,,,,,,,,24366,True,634,E072D0,Aerolineas Argentinas,330,A330,A332,330-203,265.0,2004-10-11,2004-10-11,2004-11-24,2017-02-10,Airbus A330,2.0,Jet,False,Airbus A330,20.1,True,2,"[{'reg': 'LV-GKP', 'active': True, 'hexIcao': 'E072D0', 'airlineName': 'Aerolineas Argentinas', 'registrationDate': '2017-02-10'}, {'reg': 'B-16307', 'active': False, 'airlineName': 'EVA Air', 'registrationDate': '2004-11-24'}]"
DLH501_20180626,DLH501,LH501,3c4b28,D-ABYH,B748,LFPG,LFPG,EDDF,LFPG,medical,return,unknown,,,,,15584,False,20559,3C4B28,Condor,747,B747,B742,B747-230B,364.0,1972-03-17,2013-03-09,2013-03-27,1972-03-31,Boeing 747,4.0,Jet,False,Boeing 747,52.7,True,2,"[{'reg': 'HL-7442', 'active': False, 'airlineName': 'Korean Air', 'registrationDate': '1979-02-03'}, {'reg': 'D-ABYH', 'active': False, 'hexIcao': '3C4B28', 'airlineName': 'Condor', 'registrationDate': '1972-03-31'}]"
QFA63_20180626,QFA63,QF63,7c4774,VH-OEE,B744,YSSY,FAOR,FAOR,,,,,,,,,11985,False,32909,7C4774,Qantas,744,B744,B744,747-438ER,364.0,2002-07-31,2002-07-31,2002-07-31,2002-12-06,Boeing 747-400,4.0,Jet,False,Boeing 747,22.3,True,2,"[{'reg': 'VH-OEE', 'active': False, 'hexIcao': '7C4774', 'airlineName': 'Qantas', 'registrationDate': '2002-12-06'}, {'reg': 'N747ER', 'active': False, 'airlineName': 'Boeing', 'registrationDate': '2002-07-31'}]"
DAL819_20180630,DAL819,DL819,a3d3f0,N346DN,A321,KLAX,KATL,KATL,,,,,,,,,27012,True,8227,A3D3F0,Delta Air Lines,321,A321,A321,321-211,,2018-03-28,2018-03-28,2018-04-10,2018-04-10,Airbus A321,2.0,Jet,False,Airbus A321,6.7,True,1,"[{'reg': 'N346DN', 'active': True, 'hexIcao': 'A3D3F0', 'airlineName': 'Delta Air Lines', 'registrationDate': '2018-04-10'}]"
DAL819_20180630,DAL819,DL819,a3d3f0,N346DN,A321,KLAX,KATL,KATL,,,,,,,,,27012,True,8227,A3D3F0,Delta Air Lines,321,A321,A321,321-211,,2018-03-28,2018-03-28,2018-04-10,2018-04-10,Airbus A321,2.0,Jet,False,Airbus A321,6.7,True,1,"[{'reg': 'N346DN', 'active': True, 'hexIcao': 'A3D3F0', 'airlineName': 'Delta Air Lines', 'registrationDate': '2018-04-10'}]"
TJK646_20180701,TJK646,7J646,0d0573,EY-444,B733,UUDD,UUUD,UTDL,UUUD,cabin_pressure,return,unknown,4ba9da5e,cabin_pressure,return,hold_to_reduce,1748639,False,26441,0D0573,Tajik Air,733,B733,B733,737-3L9,117.0,1992-03-19,1992-03-19,1992-03-30,2011-12-01,Boeing 737-300,2.0,Jet,False,Boeing 737 Classic,32.7,True,9,"[{'reg': 'EY-444', 'active': False, 'hexIcao': '0D0573', 'airlineName': 'Tajik Air', 'registrationDate': '2011-12-01'}, {'reg': 'XA-UNG', 'active': False, 'airlineName': 'Global Air', 'registrationDate': '2010-02-23'}, {'reg': 'OM-CLD', 'active': False, 'airlineName': 'SkyEurope Airlines', 'registrationDate': '2009-07-31'}, {'reg': 'D-ADIG', 'active': False, 'airlineName': 'Air Berlin', 'registrationDate': '2006-12-15'}, {'reg': 'D-ADIG', 'active': False, 'airlineName': 'Fly-DBA', 'registrationDate': '2003-12-23'}, {'reg': 'G-BZZA', 'active': False, 'airlineName': 'Astraeus', 'registrationDate': '2003-05-20'}, {'reg': 'G-BZZA', 'active': False, 'airlineName': 'Buzz (Ryanair Sun)', 'registrationDate': '1999-11-16'}, {'reg': 'D-ADBA', 'active': False, 'airlineName': 'Deutsche Bahn', 'registrationDate': '1992-06-14'}, {'reg': 'OY-MAL', 'active': False, 'airlineName': 'Maersk Air', 'registrationDate': '1992-03-30'}]"
EZY57UT_20180705,EZY57UT,U22963,406d92,G-EZOM,A320,LIMC,,LGIR,LIMC,unclear,return,unknown,4badb5c2,smoke_burn_smell_flames,return,unknown,24904,True,6587,406D92,easyJet,320,A320,A320,320-214,180.0,2015-04-28,2015-04-28,2015-05-06,2015-05-06,Airbus A320,2.0,Jet,False,Airbus A320,9.6,True,1,"[{'reg': 'G-EZOM', 'active': True, 'hexIcao': '406D92', 'airlineName': 'easyJet', 'registrationDate': '2015-05-06'}]"
NAX7191_20180706,NAX7191,DY7191,4950cd,CS-TFM,B772,LFPO,LFPO,KEWR,LFPO,landing_gear,return,hold_to_reduce,4bae6d1a,landing_gear,return,fueldump,8628,True,28513,4950CD,Euro-Asia Air,777,B777,B772,777-212ER,326.0,1998-05-22,1998-05-22,1998-06-18,2018-07-25,Boeing 777,2.0,Jet,False,Boeing 777,26.5,True,14,"[{'reg': 'CS-TFM', 'active': True, 'hexIcao': '4950CD', 'airlineName': 'Euro-Asia Air', 'registrationDate': '2018-07-25'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Norwegian Long Haul', 'registrationDate': '2018-04-17'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Euro-Asia Air', 'registrationDate': '2018-02-16'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Med-View Airline', 'registrationDate': '2017-07-26'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Euro-Asia Air', 'registrationDate': '2017-01-12'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'flynas', 'registrationDate': '2016-11-23'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Euro-Asia Air', 'registrationDate': '2016-10-11'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Med-View Airline', 'registrationDate': '2016-08-06'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Euro-Asia Air', 'registrationDate': '2012-03-26'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Air Madagascar', 'registrationDate': '2011-09-18'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Euro-Asia Air', 'registrationDate': '2011-03-10'}, {'reg': 'CS-TFM', 'active': False, 'airlineName': 'Biman Bangladesh Airlines', 'registrationDate': '2010-01-14'}, {'reg': 'CS-TFM', 'active': False, 'hexIcao': '4950CD', 'airlineName': 'Euro-Asia Air', 'registrationDate': '2010-01-12'}, {'reg': '9V-SRA', 'active': False, 'airlineName': 'Singapore Airlines', 'registrationDate': '1998-06-18'}]"
SWA4133_20180707,SWA4133,WN4133,aaa929,N7860A,B737,KMCO,KDAL,KDAL,,,,,,,,,9363,True,29362,AAA929,Southwest Airlines,737,,B737,B737-79P,143.0,2005-05-09,2005-05-09,2005-05-24,2018-05-08,Boeing 737,2.0,Jet,False,Boeing 737,19.5,True,2,"[{'reg': 'N7860A', 'active': True, 'hexIcao': 'AAA929', 'airlineName': 'Southwest Airlines', 'registrationDate': '2018-05-08'}, {'reg': 'B-5096', 'active': False, 'airlineName': 'China Eastern Airlines', 'registrationDate': '2005-05-24'}]"
